ESTADO,VESSEL NAME / NOMBRE DE LA NAVE,SHIPOWNER / PROPIETARIO,LICENSE / LICENCIA,LICENSE TYPE/ TIPO DE LICENCIA,VESSEL TYPE / TIPO DE EMBARCACIÓN - FISHING GEAR / ARTE DE PESCA,IMO,IRCS / LETRAS DE RADIO,NATIONAL REGISTER NUMBER / PATENTE DE NAVEGACION,LENGHT / ESLORA,GROSS TONNAGE / TONELAJE DE REGISTRO BRUTO (TRB),HOLD CAPACITY (M3) / CAPACIDAD DE BODEGA (M 3 ),VALID LICENSE DATE / FECHA DE VENCIMIENTO DE LA LICENCIA,link
VIGENTE,HAI ZHI RUN 7,HONGKONG SEA RUN SHIPPING LIMITED,06-103-8703-274-1479,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9621223,HOA3655,56297-25,141.7,7984.0,13287.0,2026-09-20,https://vu.arap.gob.pa/c/clint/
VIGENTE,HAN XING,SHAO JUN HAN,06-105-3748-11-1508,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9586332,3FYT4,47606-16-C,74.8,1998.0,3450.0,2026-09-20,https://vu.arap.gob.pa/c/clint/
VIGENTE,HANARO,SEALAND TRADING SERVICE CORPORATION,06-105-3747-182-1482,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9133317,H3RL,49935-18-B,113.37,4490.0,5745.79,2026-08-08,https://vu.arap.gob.pa/c/clint/
VIGENTE,HARU,"WORLD FISH ENTERPRISE CO.,LTD",04-105-3750-34-1384,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9241932,3EHZ8,47531-16-B,113.37,4521.0,5735.0,2025-12-07,https://vu.arap.gob.pa/c/clint/
VIGENTE,HARVEST 62,HARVEST MARINE SERVICES PTE. LTD,06-103-6083-253-1528,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9916329,3E3375,52995-22,102.17,4564.0,0.0,2026-12-15,https://vu.arap.gob.pa/c/clint/
VIGENTE,HE TAI,HE TAI SHIPPING LIMITED,04-105-4181-213-1390,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9070137,H9JS,51248-20,142.13,10374.0,14892.5,2025-12-27,https://vu.arap.gob.pa/c/clint/
VIGENTE,HELLAS TUNA,"JULIE L, S.A.,",05-102-5466-126-1434,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8021763,HPAL,52450-21-A,73.27,2157.0,1860.0,2026-04-21,https://vu.arap.gob.pa/c/clint/
VIGENTE,HIKARI 1,"NEW POWER SHIP, S.A",06-105-3751-28-1502,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9293313,3EYH9,47421-15-B,113.37,4521.0,5739.32,2026-10-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,HUA FU 107,WELL SUCCESS MARINE S.A,04-105-3755-49-1367,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8518819,3FDZ4,41740-10-CH,116.31,4964.0,7440.8799,2026-01-05,https://vu.arap.gob.pa/c/clint/
VIGENTE,HUA FU 207,"HUA FU INTERNATIONAL GROUP, S.A",06-105-3756-5-1483,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9041540,H9PE,46609-15-C,129.19,6399.0,9512.62,2026-08-05,https://vu.arap.gob.pa/c/clint/
