ESTADO,VESSEL NAME / NOMBRE DE LA NAVE,SHIPOWNER / PROPIETARIO,LICENSE / LICENCIA,LICENSE TYPE/ TIPO DE LICENCIA,VESSEL TYPE / TIPO DE EMBARCACIÓN - FISHING GEAR / ARTE DE PESCA,IMO,IRCS / LETRAS DE RADIO,NATIONAL REGISTER NUMBER / PATENTE DE NAVEGACION,LENGHT / ESLORA,GROSS TONNAGE / TONELAJE DE REGISTRO BRUTO (TRB),HOLD CAPACITY (M3) / CAPACIDAD DE BODEGA (M 3 ),VALID LICENSE DATE / FECHA DE VENCIMIENTO DE LA LICENCIA,link
VIGENTE,TXOPITUNA,"TXOPITUNA, S.L.,",05-102-4805-120-1505,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8719310,3EYS,41864-10-E,67.38,2058.0,1881.0,2026-10-30,https://vu.arap.gob.pa/c/clint/
VIGENTE,TXOPITUNA DOS,"TXOPITUNA, S. L.",05-102-3684-59-1554,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7805966,H8EE,45869-14-C,67.44,2167.0,1781.0,2027-02-26,https://vu.arap.gob.pa/c/clint/
VIGENTE,TXORI AUNDI,INPESCA FISHING LIMITED,05-102-3685-24-1512,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8208531,3FFC2,14603-85-K,68.57,2020.0,1615.06,2026-10-08,https://vu.arap.gob.pa/c/clint/
VIGENTE,ULTRA ENERGY,TOP ELECT INTERNATIONAL LIMITED,04-103-6126-259-1404,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Oil Tanker Vessel / Buque Tanquero,9184031,3E2096,52976-22-C,103.36,5404.0,0.0,2026-02-15,https://vu.arap.gob.pa/c/clint/
VIGENTE,UPAR,"INGOPESCA PANAMÁ, S.A.",05-102-4443-118-1552,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7342304,HP-9811,51330-20-D,60.07,913.0,1154.0,2027-03-19,https://vu.arap.gob.pa/c/clint/
VIGENTE,VALENTINA C,ADRIATIC SEA FISHERIES LTD,05-102-9127-138-1568,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7409140,3E8358,58726-PEXT,69.86,1988.0,855.0,2027-04-03,https://vu.arap.gob.pa/c/clint/
VIGENTE,VALEROSA,GENESIS OCEAN S.A.,05-101-3631-35-1529,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,9732175,HP5630,51501-20-A,31.92,179.0,210.0,2026-12-24,https://vu.arap.gob.pa/c/clint/
VIGENTE,VOLTA VICTORY,GALAXY INTERNATIONAL MARITIME PTE LTD,06-105-5279-177-1557,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9140102,3FYS4,52192-21-A,86.09,2716.0,4266.04,2027-03-23,https://vu.arap.gob.pa/c/clint/
VIGENTE,WEBO 307,WEBO MARINE S.A.,06-105-3710-73-1422,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9035072,3ETB8,46443-14-CH,116.33,6082.0,9828.0,2026-04-28,https://vu.arap.gob.pa/c/clint/
VIGENTE,YACHIYO,STAR NAVIGATION S.A.,06-105-3829-202-1551,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9851581,3FXL7,50229-19-B,127.81,6607.0,8027.2,2027-02-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,YOUTA MARU,YOUTA SHIPPING COMPANY S.A,06-105-6115-256-1473,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9920423,HOA5303,53033-22-B,108.46,4992.0,5805.4,2026-07-27,https://vu.arap.gob.pa/c/clint/
VIGENTE,YUN RUN 7,MAX STEP SHIPPING LIMITED,06-105-3835-211-1499,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9011038,3END6,50863-19-B,110.4,5617.0,8553.0,2026-10-31,https://vu.arap.gob.pa/c/clint/
VIGENTE,ZHONG XIE 8,"SINO COLLABORATOR OCEAN SHIPPING CO., LIMITED.",06-105-5605-243-1526,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9045950,3E2696,53429-22-B,133.83,9829.0,15281.62,2026-11-17,https://vu.arap.gob.pa/c/clint/
VIGENTE,ZHONG YU MARINE,ZHONG YU INTERNATIONAL ENERGY COMPANY LIMITED,04-105-5864-247-1347,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9287845,3ENT8,52666-21-A,91.65,5103.0,9095.0,2025-08-26,https://vu.arap.gob.pa/c/clint/
