,Nome da Embarcação,Número de Inscrição no RGP (PPP ou RAEP),Número de Inscrição na Marinha do Brasil,AB,Comprimento,Propulsão,HP,Capacidade do Porão,Volume do Tanque,Tripulação,Número de Covos,Status,UF,Número da Frota,Código IN,Petrecho
3096,ALEXANDRE JUNIOR,PA00109961,0210306564,8.8,12.0,Motor,69.0,,,3.0,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
3097,ALEXANDRE NETO I,RJ00170400,3877042821,13.0,11.5,Motor,90.0,,,3.0,,Deferida,RJ,1.02.002,1.7,1. Linha
3098,ALEXANDRE S,MA00231177,1210140772,3.0,10.6,Motor,16.0,,,,,Deferida,MA,2.04.002,2.10,2. Rede de Emalhe
3099,ALEXANDRINO,SC00282916,4418914765,0.5,6.33,Motor,18.0,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3100,ALEXANDRO,CE00013771,1620006821,8.8,11.09,Motor,54.0,,,4.0,300.0,Deferida,CE,5.01.001,5.1,5. Armadilha
3101,ALEXANDRO I,CE00013785,1820022889,6.8,9.8,Motor,48.0,,1477.0,4.0,220.0,Deferida,CE,5.01.004,5.3,5. Armadilha
3102,ALEX E DAVID,SC00168217,442M2005004591,,4.3,Remo,,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3103,ALEXES,SC00297457,442M2001019513,,4.5,Remo,,,,1.0,,Deferida,SC,6.08.001,6.8,6. Diversificada
3104,ALEXGRASMIM,RJ00148157,387M2012000780,,5.5,Motor,6.5,,,2.0,,Deferida,RJ,6.03.001,6.6,6. Diversificada
3105,ALEXIA,SC00071369,442M2006003200,,6.6,Motor,12.0,,,1.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
3106,ALEX II,SC00194636,441M2011002153,,4.5,Remo,,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3107,ALEX II,CE00036165,161M2005000401,,6.1,Vela,,,,5.0,80.0,Deferida,CE,5.01.004,5.3,5. Armadilha
3108,ALEX IV,RJ00151488,3850000397,9.2,11.0,Motor,60.0,,,2.0,,Deferida,RJ,1.02.001,1.3,1. Linha
3109,ALEX JUNIOR 3,PA00150444,0210999098,6.0,8.0,Motor,18.0,,,2.0,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
3110,ALEX JUNIOR IV,PA00150536,0210999195,9.0,12.0,Motor,49.0,,,2.0,,Deferida,PA,1.03.004,1.5,1. Linha
3111,ALEXMAR II,BA00258447,2818906890,7.0,11.3,Motor,,,,1.0,,Deferida,BA,1.06.003,1.12,1. Linha
3112,ALEXMARR,BA00049868,2820057004,5.9,8.7,Motor,36.0,,2636.0,4.0,,Deferida,BA,3.02.005,3.5,3. Rede de Arrasto
3113,ALEXSANDRA,CE00041346,1610062272,13.5,11.24,Motor,78.0,,5712.0,6.0,300.0,Deferida,CE,5.01.005,5.4,5. Armadilha
3114,ALEXSANDRO,SP00071377,4430059519,10.7,12.1,Motor,90.0,1.8,,2.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
3115,ALEX VIII,SP00071381,4010074515,1.9,6.45,Motor,60.0,,,1.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
3116,ALFA,CE00013797,1620008017,12.5,11.8,Vela,110.0,,8056.0,8.0,110.0,Deferida,CE,5.01.001,5.1,5. Armadilha
3117,ALFA,MA00205028,1210125021,3.0,7.8,Motor,18.0,,250.0,,,Deferida,MA,2.04.002,2.10,2. Rede de Emalhe
3118,ALFA,SC00242368,4420229837,1.4,5.2,Remo,,,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3119,ALFA,SC00282324,4418892826,1.0,5.78,Motor,7.5,,,2.0,,Deferida,SC,6.03.004,6.7,6. Diversificada
3120,ALFA,SC00071401,4420206071,0.9,7.95,Motor,18.0,,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
3121,ALFA,PR00071395,4211494121,2.59,8.53,Motor,18.0,,,2.0,,Deferida,PR,3.02.002,3.9,3. Rede de Arrasto
3122,ALFA,SC00282204,4430482853,2.0,7.6,Motor,18.0,,,2.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
3123,ALFA,RN00001918,1210104229,87.0,18.63,Motor,360.0,,18000.0,10.0,,Deferida,RN,1.01.002,1.1,1. Linha
3124,ALFA II,RJ00267768,382M2001003551,,5.0,Motor,25.0,,,1.0,,Deferida,RJ,4.01.002,4.4,4. Rede de Cerco
3125,ALFA II,RS00004538,4010555602,116.0,25.6,Motor,350.0,60.0,110000.0,7.0,,Deferida,RS,3.08.001,3.11,3. Rede de Arrasto
3126,ALFA MAR,SC00182485,442M2005003447,,5.0,Remo,,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3127,ALFLAVILE,CE00027018,1610060962,3.5,7.7,Vela,,,,5.0,110.0,Deferida,CE,5.01.004,5.3,5. Armadilha
3128,ALFORRIA,RN00013805,2010049021,1.7,7.8,Motor,25.0,,,7.0,160.0,Deferida,RN,5.01.001,5.1,5. Armadilha
3129,ALFREDO FILHO II,CE00013817,1620017261,5.8,10.0,Motor,23.0,,8000.0,5.0,220.0,Deferida,CE,5.01.001,5.1,5. Armadilha
3130,ALFREDO PESCA,RN00312388,1820052109,46.0,15.9,Motor,300.0,,10000.0,9.0,,Deferida,RN,1.10.001,1.17,1. Linha
3131,ALGA,PA00106407,1410106225,9.1,12.0,Motor,220.0,,16000.0,,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
3133,Aliança,SP00141107,4030211241,1.3,7.0,Motor,10.0,,,2.0,,Deferida,SP,6.03.001,6.6,6. Diversificada
3134,ALIANÇA,MA00301217,1210143925,6.0,7.9,Vela,,,,,,Deferida,MA,2.04.002,2.10,2. Rede de Emalhe
3135,ALIANCA AS,CE00307701,1630046787,17.0,12.32,Motor,108.0,,,6.0,,Deferida,CE,1.03.005,1.6,1. Linha
3136,ALIANCA DO MAR,ES00013829,3420053037,3.8,8.8,Motor,22.0,1.2,150.0,7.0,200.0,Deferida,ES,5.01.001,5.1,5. Armadilha
3137,ALIANÇA DO MAR VI,RJ00135594,3870054212,,9.5,Motor,220.0,,,3.0,,Deferida,RJ,1.06.001,1.14,1. Linha
