,Nome da Embarcação,Número de Inscrição no RGP (PPP ou RAEP),Número de Inscrição na Marinha do Brasil,AB,Comprimento,Propulsão,HP,Capacidade do Porão,Volume do Tanque,Tripulação,Número de Covos,Status,UF,Número da Frota,Código IN,Petrecho
13386,GUERREIRO DO MAR,AP00215515,0220092214,18.73,14.8,Motor,114.0,,4000.0,3.0,,Deferida,AP,2.04.004,2.12,2. Rede de Emalhe
13387,GUERREIRO DO MAR,SC00313406,4418917063,1.9,6.43,Motor,18.0,,,,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13388,GUERREIRO DO MAR I,BA00269494,2820055788,3.0,6.8,Motor,,,,,,Deferida,BA,3.02.005,3.5,3. Rede de Arrasto
13389,GUERREIRO DO MAR I,SC00066880,4410174487,1.0,6.7,Motor,12.0,1.0,,4.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13390,GUERREIRO DO MAR I,SC00318658,4418900454,1.0,6.5,Motor,15.0,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13392,GUERREIRO DO MAR II,SC00171438,4410447971,2.0,8.0,Motor,24.0,,,5.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13393,GUERREIRO DO MAR II,SC00056147,4418891994,17.0,12.45,Motor,115.0,,,,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13394,GUERREIRO DO MAR IV,BA00231247,2420000749,5.2,10.0,Motor,75.0,,,3.0,,Deferida,BA,1.06.003,1.12,1. Linha
13395,GUERREIRO I,PA00101065,0210321709,19.6,13.0,Motor,114.0,,,,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
13396,GUERREIRO II,PA00116746,0210994614,21.0,13.3,Motor,135.0,,,4.0,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
13397,GUERREIRO III,RJ00066894,3870049154,3.8,9.0,Motor,40.0,,,,,Deferida,RJ,2.04.001,2.4,2. Rede de Emalhe
13398,GUERREIRO IMORTAL,RJ00079147,3850010295,2.3,8.2,Motor,18.0,,,2.0,,Deferida,RJ,3.02.002,3.9,3. Rede de Arrasto
13399,GUERREIRO MORTAL,RJ00079237,3870060361,4.0,9.0,Motor,18.0,,,2.0,,Deferida,RJ,3.02.002,3.9,3. Rede de Arrasto
13400,GUERREIROS DA LUZ,ES00146537,3410384855,4.5,8.1,Motor,33.0,,40.0,2.0,,Deferida,ES,1.06.001,1.14,1. Linha
13401,GUERREIROS DE DEUS,ES00104651,3410385541,13.9,11.32,Motor,130.0,,1000.0,4.0,,Deferida,ES,1.02.001,1.3,1. Linha
13402,GUERREIROS DO MAR,PA00109627,0210320613,9.0,10.75,Motor,33.0,,,2.0,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
13403,GUERREIRO VI,RS00003818,3820115579,31.0,17.8,Motor,190.0,,5000.0,4.0,,Deferida,RS,1.02.002,1.7,1. Linha
13404,GUGA,PR00116676,421M2010001127,,5.45,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
13405,GUGA,SC00221066,4420227826,0.3,5.0,Remo,,0.5,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13406,GUGA,SC00120087,4430477159,3.0,7.07,Motor,11.0,,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13407,GUGU I,SE00002436,2610076860,9.2,10.2,Motor,60.0,,4455.0,3.0,,Deferida,SE,3.02.005,3.5,3. Rede de Arrasto
13408,GUI,SC00321009,4418923951,1.0,7.5,Motor,8.0,0.76,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13409,GUIA,SC00120131,4430122750,2.1,7.9,Motor,18.0,2.3,18.0,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13410,GUIADO PELA FÉ I,PA00216631,0211006980,11.0,14.8,Motor,114.0,,,4.0,,Deferida,PA,1.03.004,1.5,1. Linha
13411,GUIADO POR CRISTO,BA00221438,2818893682,8.0,8.8,Motor,39.0,,,2.0,,Deferida,BA,3.02.005,3.5,3. Rede de Arrasto
13412,GUIADO POR DEUS,RJ00128091,387M2010003487,,6.15,Remo,,,,2.0,,Deferida,RJ,6.03.001,6.6,6. Diversificada
13413,GUIADO POR DEUS,BA00220808,2820081941,4.2,9.0,Motor,18.0,,,4.0,,Deferida,BA,3.02.005,3.5,3. Rede de Arrasto
13414,GUIADO POR DEUS,RJ00304557,386M2016000808,0.2,5.0,Motor,15.0,0.15,,2.0,,Deferida,RJ,6.03.001,6.6,6. Diversificada
13415,GUIADO POR DEUS,MA00309677,1210145944,4.0,7.95,Motor,16.0,,,,,Deferida,MA,2.04.002,2.10,2. Rede de Emalhe
13416,GUIADO POR DEUS,ES00190336,341M2013001821,,4.95,Motor,7.5,,,4.0,,Deferida,ES,6.03.001,6.6,6. Diversificada
13417,GUIADO POR DEUS,SC00336406,443M2021004242,2.0,6.3,Motor,18.0,,,2.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
13418,GUIADOR,SP00079255,4040116143,0.5,5.33,Motor,11.0,,,1.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13419,GUIA MAR,SC00235447,442M2013003692,,4.4,Remo,,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13420,GUIA-ME DEUS,RJ00311758,3840172578,3.0,8.0,Motor,13.0,,,,,Deferida,RJ,6.03.001,6.6,6. Diversificada
13421,GUIA ME PAI,SC00322499,4418925210,2.0,6.9,Motor,18.0,1.26,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13422,GUIA MINHA SORTE,RJ00064028,3870060964,5.0,10.5,Motor,70.0,,,3.0,,Deferida,RJ,1.02.001,1.3,1. Linha
13423,GUIA O DEUS,ES00079279,3420040512,2.1,7.5,Motor,120.0,,,4.0,,Deferida,ES,3.02.002,3.9,3. Rede de Arrasto
13424,GUI BENTO,RJ00082028,3860011430,2.7,7.87,Motor,36.0,,,2.0,,Deferida,RJ,3.02.002,3.9,3. Rede de Arrasto
13425,GUI DO PAI,RJ00190576,4030211224,8.93,11.0,Motor,115.0,,,2.0,,Deferida,RJ,4.01.002,4.4,4. Rede de Cerco
13426,GUIDOS PUERTAS,SP00082586,4030218351,6.6,9.5,Motor,22.0,2.3,,1.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13427,GUIE - ME DEUS,PA00121947,0210205547,4.0,8.0,Motor,10.0,,,3.0,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
13428,GUIGA,PE00269500,2210140081,9.0,10.0,Motor,,,,2.0,,Deferida,PE,1.06.003,1.12,1. Linha
13429,GUIGAS,RJ00127057,3420049765,11.0,11.2,Motor,120.0,,,6.0,,Deferida,RJ,1.02.002,1.7,1. Linha
13430,GUIGO,SC00079291,4430098093,1.21,7.2,Motor,11.0,,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13431,GUIGU,SP00087548,4010472677,1.8,6.0,Motor,18.0,,,3.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13432,GUIGUI,PR00287310,421M2008004347,,5.9,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
13433,GUIGUI,RJ00093955,3860010883,3.03,4.95,Motor,11.0,,,2.0,,Deferida,RJ,3.02.002,3.9,3. Rede de Arrasto
13435,GUILHERME,RN00018217,1810039843,4.3,9.0,Motor,45.0,,,3.0,200.0,Deferida,RN,5.01.001,5.1,5. Armadilha
13436,GUILHERME,SC00218077,4418900900,0.9,5.14,Motor,11.0,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13437,GUILHERME,PR00082788,4211459210,3.2,6.8,Motor,10.0,,,3.0,,Deferida,PR,3.02.002,3.9,3. Rede de Arrasto
13438,GUILHERME,RJ00125525,387M2007000704,,5.2,Remo,,,,2.0,,Deferida,RJ,6.03.001,6.6,6. Diversificada
13439,GUILHERME,SC00082528,4430110824,3.2,8.5,Motor,18.0,,,,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13440,GUILHERME,PI00046478,1630041238,29.0,12.4,Motor,120.0,,5000.0,6.0,,Deferida,PI,1.00.000,null,1. Linha
13441,GUILHERME,SC00323909,442M2016002327,,7.2,Motor,11.0,,,,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13442,GUILHERME,SC00329857,441M2016001700,1.0,5.6,Motor,11.0,,,,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13443,GUILHERME,SP00088560,4410142828,4.7,10.0,Motor,60.0,,,1.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13444,GUILHERME,PE00034347,221M2007000283,,5.0,Vela,,,,3.0,30.0,Deferida,PE,5.01.004,5.3,5. Armadilha
13445,GUILHERME AUGUSTO,SP00079311,4030097588,2.0,7.5,Motor,22.0,,,2.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13446,GUILHERME I,PA00006820,1610058593,14.2,12.0,Motor,45.0,,10766.0,6.0,300.0,Deferida,PA,5.01.001,5.1,5. Armadilha
13447,GUILHERME I,SP00079387,4430059543,1.4,8.3,Motor,18.0,0.9,,2.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13448,GUILHERME I,SP00079407,4030123601,10.0,9.9,Motor,107.0,2.96,,2.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13449,GUILHERME I,SC00079361,4420199601,3.9,8.97,Motor,18.0,,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13450,GUILHERME II,AL00227984,2410131999,2.5,8.4,Motor,70.0,,,3.0,,Deferida,AL,3.02.005,3.5,3. Rede de Arrasto
13451,GUILHERME II,PR00135438,4215519691,0.3,7.0,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
13452,GUILHERME II,SC00177470,4418899774,2.0,6.5,Motor,15.0,,,3.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
13453,GUILHERME IV,SC00244446,441M2014002668,,4.5,Remo,,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13454,GUILHERME IV,SC00252657,441M2014005462,,5.0,Motor,,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13455,GUILHERME-MAR,RJ00136518,3840076994,4.3,8.5,Motor,90.0,,,,,Deferida,RJ,1.06.001,1.14,1. Linha
13456,GUILHERME ROSA,SC00329135,4430498687,4.0,8.15,Motor,60.0,,,2.0,,Deferida,SC,4.01.002,4.4,4. Rede de Cerco
13457,GUILHERME SANTOS,SC00048378,4430113556,48.0,19.0,Motor,267.0,,10000.0,4.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13458,GUILIANE,PR00119204,4211508113,0.7,7.5,Motor,18.0,,,3.0,,Deferida,PR,3.02.002,3.9,3. Rede de Arrasto
13459,GUILOMAR II,ES00341447,3410393510,8.0,9.4,Motor,50.0,,,3.0,,Deferida,ES,1.06.001,1.14,1. Linha
13460,GUIOMAR,ES00018221,3420041624,3.9,8.5,Motor,18.0,1.2,100.0,4.0,200.0,Deferida,ES,5.01.001,5.1,5. Armadilha
13461,GUIX JOE,SC00297527,4418918621,0.7,5.59,Motor,7.5,,,1.0,,Deferida,SC,4.01.002,4.4,4. Rede de Cerco
13462,GULF OCEANIC,ES00331188,3410391738,48.0,18.3,Motor,350.0,,,9.0,,Deferida,ES,1.01.001,1.2,1. Linha
13464,GUMA,SC00169909,442M2007006756,1.0,6.8,Motor,11.0,,,2.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
13465,GUMA,SP00323815,401M2019010121,,6.0,Motor,15.0,,,2.0,,Deferida,SP,6.03.001,6.6,6. Diversificada
13466,GUMA,SC00338856,4420189550,1.3,5.4,Motor,18.0,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13467,GUMA II,SC00119994,4420206331,2.2,8.0,Motor,18.0,,,4.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13468,GUMAR,SC00048118,4430120234,2.4,8.32,Motor,22.0,2.6,300.0,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13469,GUMES,SC00176030,442M2012004842,,5.5,Motor,,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13470,GUNNAR DO PEIXE III,CE00007288,1630041726,29.0,15.0,Motor,110.0,,8056.0,11.0,,Deferida,CE,1.09.002,1.9,1. Linha
13471,GUNNAR VINGREN,SP00079431,4030207499,4.5,8.0,Motor,18.0,,,2.0,,Deferida,SP,3.02.004,3.8,3. Rede de Arrasto
13472,GUNNAR VINGREN,RS00047848,4010143614,62.0,19.5,Motor,325.0,,14000.0,4.0,,Deferida,RS,2.04.001,2.4,2. Rede de Emalhe
13474,GUNNAR VINGREN III,SC00011251,4430117098,85.0,20.43,Motor,290.0,,18000.0,10.0,,Deferida,SC,2.03.001,2.3,2. Rede de Emalhe
13475,GUNTHER,SC00335304,443M2017005141,,6.25,Motor,18.0,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13476,GURUÇA,ES00079457,3410237992,2.9,7.16,Motor,18.0,,,2.0,,Deferida,ES,3.02.002,3.9,3. Rede de Arrasto
13477,GUSTAVINHO,PA00103761,0210986379,3.0,9.2,Motor,18.0,,,3.0,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
13478,GUSTAVINHO II,PA00197074,0211004316,4.0,10.0,Motor,18.0,,,2.0,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
13479,GUSTAVO,SC00120007,4010808403,3.3,8.5,Motor,18.0,,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13480,GUSTAVO,SC00163259,442M2010003129,,5.0,Remo,,,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13481,GUSTAVO,SC00269048,442M2014004664,,5.0,Motor,15.0,,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13482,GUSTAVO,PR00285840,421M2008010037,,7.0,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
13483,GUSTAVO,SC00285946,442M2014003269,,5.0,Motor,15.0,,,1.0,,Deferida,SC,6.03.004,6.7,6. Diversificada
13484,GUSTAVO,PR00290867,421M2014002166,,5.81,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
13485,GUSTAVO,PR00291471,421M2015002689,,5.5,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
13486,GUSTAVO,SC00091579,4410146904,1.8,8.9,Motor,11.0,1.8,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13487,GUSTAVO,RJ00302575,386M2017000093,0.5,4.25,Remo,,,,2.0,,Deferida,RJ,6.03.001,6.6,6. Diversificada
13488,GUSTAVO,RJ00304457,386M2006000301,0.2,4.95,Motor,15.0,1.6,,2.0,,Deferida,RJ,6.03.001,6.6,6. Diversificada
13489,GUSTAVO,SC00305611,443M2017002835,0.5,5.0,Remo,,,,,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13490,GUSTAVO,PI00044558,2610079702,5.1,11.3,Motor,145.0,,4000.0,3.0,,Deferida,PI,3.02.001,3.4,3. Rede de Arrasto
13491,GUSTAVO,SC00318228,441M2017005063,1.0,6.22,Motor,11.0,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13492,GUSTAVO,SP00079477,4430076448,2.1,8.1,Motor,45.0,,800.0,2.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13493,GUSTAVO AC,PA00100447,0210984619,9.0,10.1,Motor,69.0,,3000.0,,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
13494,GUSTAVO C,PR00082480,4420139919,9.4,9.89,Motor,107.0,,,3.0,,Deferida,PR,3.02.002,3.9,3. Rede de Arrasto
13495,GUSTAVO FILHO,SC00047968,4430034991,0.7,7.1,Motor,6.0,,150.0,3.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13496,GUSTAVO F IV,CE00330734,1620024608,38.0,14.2,Motor,132.0,,8000.0,8.0,,Deferida,CE,1.03.005,1.6,1. Linha
13497,GUSTAVO GOMES,AL00328327,2412236666,13.0,10.98,Motor,65.0,,,3.0,,Deferida,AL,1.03.005,1.6,1. Linha
13498,GUSTAVO I,SC00235137,4451112974,,5.28,Motor,7.0,,,3.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
13499,GUSTAVO I,SC00167655,4430119821,5.3,8.5,Motor,24.0,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13500,GUSTAVO I,SC00220900,442M2008001371,,4.92,Remo,,,,,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13501,GUSTAVO I,SC00056167,4410174151,3.6,9.5,Motor,60.0,3.1,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13502,GUSTAVO I,SC00295209,441M2016001611,,7.38,Motor,10.0,,,1.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
13503,GUSTAVO I,PE00216715,2010077121,3.2,7.8,Motor,,,,3.0,,Deferida,PE,2.02.002,2.5,2. Rede de Emalhe
13504,GUSTAVO I,SP00331110,401M2011006221,,5.82,Motor,15.0,,,1.0,,Deferida,SP,6.03.001,6.6,6. Diversificada
13505,GUSTAVO I,CE00018259,1610030931,13.0,10.5,Motor,67.0,,,6.0,250.0,Deferida,CE,5.01.003,5.2,5. Armadilha
13506,GUSTAVO II,SC00208890,442M2008003137,,5.0,Remo,,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13507,GUSTAVO II,SC00270239,4410457870,0.01,5.5,Motor,7.5,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13508,GUSTAVO II,SC00120747,4430120439,5.1,7.75,Motor,18.0,,,3.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13509,GUSTAVO II,CE00018267,1620008335,18.0,13.23,Motor,102.0,,4200.0,5.0,300.0,Deferida,CE,5.01.001,5.1,5. Armadilha
13510,GUSTAVO III,CE00018271,2010069137,19.0,13.23,Motor,120.0,,3500.0,5.0,430.0,Deferida,CE,5.01.003,5.2,5. Armadilha
13511,GUSTAVO JL,CE00100537,161M2007006833,,4.88,Vela,,,,4.0,30.0,Deferida,CE,5.01.004,5.3,5. Armadilha
13512,GUSTAVO L,SC00343765,4430505110,3.28,7.18,Motor,18.0,,,2.0,,Deferida,SC,4.01.002,4.4,4. Rede de Cerco
13513,GUSTAVO M,SC00066640,4430118094,2.2,9.3,Motor,60.0,,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13514,GUSTAVO MANOEL,SC00212927,443M2012005320,1.0,5.0,Motor,11.0,,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13515,GUSTAVO MARQUES,SC00009906,4430105871,110.0,24.8,Motor,425.0,,25000.0,4.0,,Deferida,SC,3.08.001,3.11,3. Rede de Arrasto
13516,GUSTAVO NETO,SC00048464,4410166603,4.5,9.37,Motor,23.0,6.1,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13517,GUSTAVO V,PR00090615,4210171662,12.0,12.0,Motor,160.0,,,3.0,,Deferida,PR,3.02.002,3.9,3. Rede de Arrasto
13518,GUSTAVO X,PE00018235,2210082579,2.5,7.5,Motor,10.0,,,5.0,160.0,Deferida,PE,5.01.004,5.3,5. Armadilha
13519,GUTHIERRY I,RN00242008,1810056730,3.2,8.0,Motor,18.0,,,,,Deferida,RN,2.02.002,2.5,2. Rede de Emalhe
13520,GUTIELI,BA00183527,2930019981,5.1,8.7,Motor,15.0,,,5.0,,Deferida,BA,3.02.005,3.5,3. Rede de Arrasto
13521,GUTO I,SP00079495,4040060954,12.2,10.0,Motor,60.0,,,3.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13522,G V,PA00122577,0210994533,4.0,8.0,Motor,49.0,,,2.0,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
13523,GYKA,PR00116448,421M2009081597,,5.3,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
13524,HADASSA,PA00271331,0211012831,8.0,12.0,Motor,69.0,,,2.0,,Deferida,PA,2.04.004,2.12,2. Rede de Emalhe
13525,HADASSA,PR00291389,421M2015003405,,6.0,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
13526,HADASSA,RJ00129375,3840084245,5.6,8.5,Motor,33.0,,500.0,3.0,,Deferida,RJ,4.01.002,4.4,4. Rede de Cerco
13527,HADASSA III,SC00226804,4430118345,48.0,18.56,Motor,310.0,,11000.0,5.0,,Deferida,SC,3.09.001,3.10,3. Rede de Arrasto
13528,HAEHNNOAN,AL00279325,241M2014000769,,5.0,Remo,,,,4.0,,Deferida,AL,6.03.003,6.5,6. Diversificada
13529,HAGATA,SC00120441,442M2007003773,,6.8,,,,,1.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
13530,HAISSA F,RS00056185,4430113211,92.0,22.5,Motor,320.0,,,4.0,,Deferida,RS,2.04.001,2.4,2. Rede de Emalhe
13532,HAJA FÉ,RJ00266498,3830057172,4.4,8.0,Motor,3.0,,,2.0,,Deferida,RJ,3.03.001,3.6,3. Rede de Arrasto
13534,HALLEY,SP00079515,4030146465,4.5,7.1,Motor,18.0,,,2.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13535,HALLEY,PA00218081,0230073450,10.6,15.0,Motor,45.0,,,,,Deferida,PA,2.02.003,2.8,2. Rede de Emalhe
13536,HALLEY XXIII,SP00079539,4040089278,4.7,8.6,Motor,60.0,,,1.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13537,HALLISSON,CE00278727,162M2013000065,,5.1,Vela,,,,,,Deferida,CE,2.02.002,2.5,2. Rede de Emalhe
13538,HALYSSON,PR00172526,421M2006005521,,6.6,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
13540,HAMILTON,CE00275479,161M2011000045,,5.2,Vela,,,,4.0,,Deferida,CE,2.02.002,2.5,2. Rede de Emalhe
13541,HAMILTON I,CE00274171,1610066588,3.7,8.55,Vela,,,,5.0,,Deferida,CE,2.02.002,2.5,2. Rede de Emalhe
13542,HAMILTON I,SC00340817,4430502056,2.0,6.8,Motor,18.0,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13543,HANAKI MARU I,CE00305339,1630046914,48.0,16.82,Motor,300.0,,6000.0,8.0,,Deferida,CE,1.10.001,1.17,1. Linha
13544,HANIEL BRAGA,CE00297875,1410112306,13.0,11.34,Motor,108.0,,,,,Deferida,CE,1.06.003,1.12,1. Linha
13545,HANIEL-I,PI00264896,1410111695,9.0,10.15,Motor,90.0,,5000.0,4.0,,Deferida,PI,2.02.002,2.5,2. Rede de Emalhe
13546,HANNA GREYCE,ES00125507,3410241485,30.0,15.35,Motor,140.0,,,10.0,,Deferida,ES,1.02.001,1.3,1. Linha
13547,HANS MULLER,PB00018285,2010080025,4.2,9.0,Motor,30.0,9.0,100.0,7.0,200.0,Deferida,PB,5.01.001,5.1,5. Armadilha
13548,HARGER,SC00343251,442M2023002297,1.99,4.45,Motor,15.0,,,,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13549,HARMONIA G,SC00067890,4450072618,54.0,21.46,Motor,290.0,,6000.0,10.0,,Deferida,SC,1.10.002,1.18,1. Linha
13550,HARMONIA I,PE00301349,1810034787,11.0,1.13,Motor,120.0,,,5.0,,Deferida,PE,1.07.001,1.15,1. Linha
13551,HARMONIA IX,SP00003876,4019918783,42.0,19.2,Motor,230.0,,20000.0,4.0,,Deferida,SP,3.08.001,3.11,3. Rede de Arrasto
13552,HARMONIA S,SC00196944,4430091358,37.0,18.23,Motor,267.0,,8500.0,4.0,,Deferida,SC,1.10.002,1.18,1. Linha
13553,HARMONIA VIII,SC00158650,4418900969,0.9,5.72,Motor,9.0,1.45,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13554,HAROLDO,CE00100909,1620019370,2.8,7.65,Vela,,,,5.0,110.0,Deferida,CE,5.01.004,5.3,5. Armadilha
13555,HAROLDO JR,PA00104165,0210986573,5.0,10.0,Motor,18.0,,,,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
13557,HAROMAR I,PA00100017,0210175672,86.9,21.95,Motor,365.0,,360.0,5.0,,Deferida,PA,3.02.003,3.3,3. Rede de Arrasto
13558,HAVAI,ES00003114,3410234471,3.2,7.75,Motor,18.0,,20.0,3.0,,Deferida,ES,3.02.002,3.9,3. Rede de Arrasto
13559,HAVAIANA,SC00156250,441M2008005055,,5.3,Remo,,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13560,HAVAIANO I,SP00079551,4040059280,0.8,6.9,Motor,18.0,,,1.0,,Deferida,SP,3.02.004,3.8,3. Rede de Arrasto
13561,HAVAI I,AL00018297,2410118691,3.1,7.3,Motor,10.0,,,3.0,160.0,Deferida,AL,5.01.001,5.1,5. Armadilha
13562,HAVAI II,AL00221974,2410141978,4.4,9.0,Motor,46.0,,300.0,3.0,,Deferida,AL,3.02.005,3.5,3. Rede de Arrasto
13563,HAVAI III,BA00241754,2820056890,6.7,10.0,Motor,,,,3.0,,Deferida,BA,3.02.005,3.5,3. Rede de Arrasto
13564,HAVANA,PR00119170,4211508261,6.9,12.5,Motor,110.0,,5000.0,3.0,,Deferida,PR,3.02.002,3.9,3. Rede de Arrasto
13565,HAVANA IV,AL00219055,2010076664,6.0,9.1,Motor,48.0,,,3.0,,Deferida,AL,3.02.005,3.5,3. Rede de Arrasto
13566,HAVILA C,PR00057695,4211500031,1.7,8.8,Motor,18.0,1.1,,2.0,,Deferida,PR,3.02.002,3.9,3. Rede de Arrasto
13567,HAVYLA VITORIA,ES00098405,3410147276,11.4,11.5,Motor,120.0,,3000.0,6.0,,Deferida,ES,1.01.001,1.2,1. Linha
13569,HAWAI,PA00269966,0211013650,15.0,12.0,Motor,114.0,,,4.0,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
13570,HAWAI,SC00202570,441M2006002099,,4.0,Remo,,,,2.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
13571,HAWAI,SC00251969,4420232315,1.5,7.8,Motor,18.0,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13572,HAWAI I,RJ00246148,4030152864,7.0,10.3,Motor,60.0,,,2.0,,Deferida,RJ,3.02.002,3.9,3. Rede de Arrasto
13573,HAWAI XIII,SP00079577,4010740205,1.9,8.0,Motor,26.0,,,2.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
13574,HB,SC00275511,4430475351,3.0,8.4,Motor,11.0,,,,,Deferida,SC,4.01.002,4.4,4. Rede de Cerco
13575,H.C,PE00035427,2210149924,1.0,6.0,Vela,,,,3.0,60.0,Deferida,PE,5.01.004,5.3,5. Armadilha
13576,H C PRINCIPE,RJ00205978,3820116656,5.3,10.5,Motor,90.0,,,2.0,,Deferida,RJ,4.01.002,4.4,4. Rede de Cerco
13577,H DANTAS,ES00058345,3420042094,3.9,8.5,Motor,120.0,,,6.0,,Deferida,ES,2.04.001,2.4,2. Rede de Emalhe
13578,HDM EMBARCAÇÕES,SC00323865,442M2011000944,2.0,5.0,Motor,15.0,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
13579,HEBELY I,CE00018305,1620018870,19.8,11.75,Motor,,,,5.0,300.0,Deferida,CE,5.01.001,5.1,5. Armadilha
13580,HEBELY II,PA00238197,1630039314,19.0,12.0,Motor,42.0,,5500.0,4.0,,Deferida,PA,1.03.004,1.5,1. Linha
